Unnamed: 0,task_id,title,description,status,source_layer,matched_file,source,main_branch
0,TASK001,Setup base FastAPI project,Initialize FastAPI project with standard folder structure,pending,v1,—,v1_csv,CORE_SETUP
1,TASK002,Create users table,Define and migrate core users model,pending,v1,—,v1_csv,USER_MANAGEMENT
2,TASK003,Implement user registration,Create signup route with validation,pending,v1,—,v1_csv,USER_MANAGEMENT
3,TASK004,Add email verification,Send OTP and verify email logic,pending,v1,—,v1_csv,KYC_WORKFLOWS
4,TASK005,Implement login flow,Add password hashing and JWT token generation,pending,v1,—,v1_csv,USER_MANAGEMENT
5,TASK006,Create dashboard UI,Build base dashboard interface for Smart Users,pending,v1,—,v1_csv,USER_MANAGEMENT
6,TASK007,Add profile popup modal,Enable modal with live edit/save,pending,v1,—,v1_csv,USER_MANAGEMENT
7,TASK008,Integrate mobile verification,Skip if mobile already verified via Fast2SMS,pending,v1,—,v1_csv,KYC_WORKFLOWS
8,TASK009,Create user activity logger,Track login/logout and basic user actions,pending,v1,—,v1_csv,USER_MANAGEMENT
9,TASK010,Setup Docker environment,Build Dockerfile and docker-compose for dev,pending,v1,—,v1_csv,CORE_SETUP
10,TASK011,Add SQLite test DB,Support local SQLite for fast testing,pending,v1,—,v1_csv,MISC
11,TASK012,Build logic folder,Split complex functions into logic/ modules,pending,v1,—,v1_csv,DEVOPS_AND_DOCKER
12,TASK013,Implement sync tool (v1),Basic scp-based sync logic with file listing,pending,v1,—,v1_csv,SYNC_AND_BACKUP
13,TASK014,Build dev-bucket UI,Create UI to show assigned tasks to devs,pending,v1,—,v1_csv,DEVOPS_AND_DOCKER
14,TASK015,Create task model,"Define dev_tasks with title, description, assigned_to",pending,v1,—,v1_csv,ADMIN_CONTROLS
15,TASK016,Seed initial tasks,Auto-insert system tasks (SYS001–SYS010),pending,v1,—,v1_csv,CORE_SETUP
16,TASK017,Fetch task by ID,Build logic to retrieve task by task_id,pending,v1,—,v1_csv,DEVOPS_AND_DOCKER
17,TASK018,Enable file download per task,Link download button with ZIP package,pending,v1,—,v1_csv,ADMIN_CONTROLS
18,TASK019,Create submission handler,Support ZIP + optional notes upload,pending,v1,—,v1_csv,MISC
19,TASK020,Mark task complete,Update status on successful upload,pending,v1,—,v1_csv,ADMIN_CONTROLS
20,TASK021,Implement feedback model,Track dev feedback per task,pending,v1,—,v1_csv,ADMIN_CONTROLS
21,TASK022,Build progress bar widget,UI element for task completion % per dev,pending,v1,—,v1_csv,DEVOPS_AND_DOCKER
22,TASK023,Create admin review route,Allow admin to review and approve dev uploads,pending,v1,—,v1_csv,FRONTEND_ROUTES
23,TASK024,Implement admin approval logic,Update task status post approval,pending,v1,—,v1_csv,ADMIN_CONTROLS
24,TASK025,Auto sync uploaded files,Push submitted files to correct logic path,pending,v1,—,v1_csv,SYNC_AND_BACKUP
25,TASK026,Check route duplication,Scan for route conflict and report,pending,v1,—,v1_csv,MISC
26,TASK027,Add route tag scanner,Group routes with FastAPI tags,pending,v1,—,v1_csv,MISC
27,TASK028,Sync logic files via Celery,Use Celery to background sync logic changes,pending,v1,—,v1_csv,SYNC_AND_BACKUP
28,TASK029,Track developer login,Log dev sessions and time spent,pending,v1,—,v1_csv,USER_MANAGEMENT
29,TASK030,Daily snapshot backup,Create daily ZIP snapshot of logic folder,pending,v1,—,v1_csv,SYNC_AND_BACKUP
30,TASK031,Build logic tree viewer,Display nested logic folder structure visually,pending,v1,—,v1_csv,FRONTEND_ROUTES
31,TASK032,Check unused models,Detect models not referenced in any logic,pending,v1,—,v1_csv,MISC
32,TASK033,Show model-logic map,Map which logic uses which model,pending,v1,—,v1_csv,MISC
33,TASK034,Check unused routes,Detect routes not referenced in frontend,pending,v1,—,v1_csv,MISC
34,TASK035,Sync DB migrations,Trigger alembic upgrades after logic sync,pending,v1,—,v1_csv,CORE_SETUP
35,TASK036,Lock file on edit,Prevent multiple devs editing same logic file,pending,v1,—,v1_csv,MISC
36,TASK037,Enable Google login,OAuth-based restricted Gmail login,pending,v1,—,v1_csv,USER_MANAGEMENT
37,TASK038,Superadmin dashboard,UI for overall task and dev tracking,pending,v1,—,v1_csv,ADMIN_CONTROLS
38,TASK039,Enable tagging system,Add tags for logic classification,pending,v1,—,v1_csv,MISC
39,TASK040,Route to logic mapper,Tool to auto-link route → logic function,pending,v1,—,v1_csv,MISC
40,TASK041,Logic conflict detector,Scan logic for conflicting function names,pending,v1,—,v1_csv,MISC
41,TASK042,Create offline installer,Build full installer ZIP with Python/Node deps,pending,v1,—,v1_csv,DEVOPS_AND_DOCKER
42,TASK043,Mark task priority,Allow admin to tag urgent tasks,pending,v1,—,v1_csv,ADMIN_CONTROLS
43,TASK044,Auto assign tasks,Distribute tasks evenly across devs,pending,v1,—,v1_csv,ADMIN_CONTROLS
44,TASK045,Track function coverage,Mark how many functions have tests,pending,v1,—,v1_csv,MISC
45,TASK046,Setup test folder,Prepare unit testing infra for logic,pending,v1,—,v1_csv,CORE_SETUP
46,TASK047,Scan test coverage,Report test % per logic file,pending,v1,—,v1_csv,MISC
47,TASK048,Tag external dependencies,Show where 3rd party libs used,pending,v1,—,v1_csv,MISC
48,TASK049,Scan logic usage of DB,Show which logic files hit which models,pending,v1,—,v1_csv,MISC
49,TASK050,Build DB model viewer,UI to navigate all models + relationships,pending,v1,—,v1_csv,FRONTEND_ROUTES
50,TASK051,Sync logic changes to test,Mirror synced logic to test folder for CI,pending,v1,—,v1_csv,SYNC_AND_BACKUP
51,TASK052,Build analytics summary,Overall dev contribution & progress view,pending,v1,—,v1_csv,FRONTEND_ROUTES
52,TASK053,Developer profile modal,Show recent uploads + badges,pending,v1,—,v1_csv,USER_MANAGEMENT
53,TASK054,Detect logic bloat,Mark logic files >500 lines for review,pending,v1,—,v1_csv,FRONTEND_ROUTES
54,TASK055,Suggest logic refactor,Recommend splitting heavy logic,pending,v1,—,v1_csv,MISC
55,TASK056,Scan for old logic style,Detect v1-style legacy logic usage,pending,v1,—,v1_csv,MISC
56,TASK057,Track logic function reuse,Show reused functions across files,pending,v1,—,v1_csv,MISC
57,TASK058,Enable smart filter in UI,Filter tasks by type,pending,v1,—,v1_csv,ADMIN_CONTROLS
58,TASK059,Allow dev comments,Feedback option inside logic popup,pending,v1,—,v1_csv,MISC
59,TASK060,Enable live task timer,Track how much time each dev spends,pending,v1,—,v1_csv,ADMIN_CONTROLS
60,TASK061,Generate progress CSV,Auto-export dev progress CSV,pending,v1,—,v1_csv,MISC
61,TASK062,Sync user_docs folder,Auto sync user document logic changes,pending,v1,—,v1_csv,USER_MANAGEMENT
62,TASK063,Auto alert for task delay,Notify admin if task inactive 7+ days,pending,v1,—,v1_csv,NOTIFICATION_SYSTEM
63,TASK064,Allow logic rollback,Restore previous version of logic,pending,v1,—,v1_csv,MISC
64,TASK065,Sync scanned logic to DB,Save function list to DB after scan,pending,v1,—,v1_csv,SYNC_AND_BACKUP
65,TASK066,Track scan date,Log when logic/functions last scanned,pending,v1,—,v1_csv,MISC
66,TASK067,Enable search by function,Search box to jump to function in logic,pending,v1,—,v1_csv,MISC
67,TASK068,Detect logic duplicates,Find similar code blocks across logic,pending,v1,—,v1_csv,MISC
68,TASK069,Add logic complexity score,Compute logic based on branching,pending,v1,—,v1_csv,MISC
69,TASK070,Show Git-style diff,Display before/after on logic updates,pending,v1,—,v1_csv,MISC
70,TASK071,Add logic tags to DB,Each logic tagged for classification,pending,v1,—,v1_csv,MISC
71,TASK072,Export tagged logic,Download all logic with a specific tag,pending,v1,—,v1_csv,MISC
72,TASK073,Compare logic versions,Show timeline of changes,pending,v1,—,v1_csv,MISC
73,TASK074,Add logic status (active/legacy),Mark old logic as legacy,pending,v1,—,v1_csv,MISC
74,TASK075,Enable logic lock override,Admin can force unlock logic,pending,v1,—,v1_csv,ADMIN_CONTROLS
